"","var","chi","df","p","n"
"2","X2A.Vowel.Quality.Inventories","0.562408788646934","2",0.754874027744729,NA
"3","234","234","234",234,234
"4","X3A.Consonant.Vowel.Ratio","3.2218655109607","4",0.521406547298193,NA
"5","234","234","234",234,234
"6","X4A.Voicing.in.Plosives.and.Fricatives","3.20222641507345","3",0.361484360827911,NA
"7","234","234","234",234,234
"8","X9A.The.Velar.Nasal","3.13165879239794","2",0.208914668265647,NA
"9","189","189","189",189,189
"10","X10A.Vowel.Nasalization","0.401299733949543","1",0.526418782461657,NA
"11","119","119","119",119,119
"12","X12A.Syllable.Structure","1.05772065107868","2",0.589276170132073,NA
"13","208","208","208",208,208
"14","X13A.Tone","1.67656112961515","2",0.432453460228805,NA
"15","215","215","215",215,215
"16","X27A.Reduplication","1.22584559335334","2",0.541765083553341,NA
"17","158","158","158",158,158
"18","X28A.Case.Syncretism","10.6935478790743","3",0.0135038225251941,NA
"19","114","114","114",114,114
"20","X31A.Sex.based.and.Non.sex.based.Gender.Systems","1.39609074300506","2",0.497556892816087,NA
"21","139","139","139",139,139
"22","X32A.Systems.of.Gender.Assignment","1.98493509752734","2",0.370660937715128,NA
"23","139","139","139",139,139
"24","X34A.Occurrence.of.Nominal.Plurality","1.69921270496172","5",0.888998930336838,NA
"25","143","143","143",143,143
"26","X36A.The.Associative.Plural","3.32027231425437","3",0.344831067892087,NA
"27","119","119","119",119,119
"28","X38A.Indefinite.Articles","4.91512876905489","4",0.296117193673131,NA
"29","286","286","286",286,286
"30","X42A.Pronominal.and.Adnominal.Demonstratives","0.565797987163151","2",0.753595902038646,NA
"31","107","107","107",107,107
"32","X46A.Indefinite.Pronouns","4.56032308862565","3",0.206972306232251,NA
"33","173","173","173",173,173
"34","X47A.Intensifiers.and.Reflexive.Pronouns","2.0980478030139","1",0.147487342171486,NA
"35","92","92","92",92,92
"36","X48A.Person.Marking.on.Adpositions","7.40937037097697","3",0.0599334164689357,NA
"37","193","193","193",193,193
"38","X52A.Comitatives.and.Instrumentals","1.67894456813808","2",0.431938404072691,NA
"39","162","162","162",162,162
